q_idx,seed,correct_answer,in_beam_top100,beam_rank,detected_rel,n_filtered,correct_in_filtered,final_rank
455,Central Station,1996,True,5,release_year,17,True,1
456,Caro diario,Latin,True,7,in_language,4,True,2
457,The World Is Not Enough,Mystery,True,21,has_genre,2,True,2
458,The Beaver,Michael Goetz,True,23,directed_by,31,True,4
459,Goodbye Charlie,1985,True,4,release_year,2,True,1
460,Inland Empire,Naomi Watts,True,3,starred_actors,58,True,1
461,Rocky V,Chinese,True,24,in_language,3,True,1
462,Whatever Works,Mystery,True,1,has_genre,3,True,1
463,Outlaw Blues,Michael Almereyda,True,3,written_by,4,True,1
464,The Last Man on Earth,Lily Tomlin,True,13,starred_actors,45,True,1
465,Forget Paris,1992,False,0,release_year,8,False,0
466,The Exorcist,Blake Edwards,True,12,directed_by,11,True,2
467,Guy and Madeline on a Park Bench,Drama,True,3,has_genre,7,True,2
468,Touchy Feely,Drama,True,1,has_genre,10,True,1
469,The Return of the Musketeers,Gene Kelly,True,12,written_by,6,True,5
470,Mike's Murder,Drama,True,6,has_genre,2,True,1
471,A High Wind in Jamaica,Mystery,True,1,has_genre,12,True,1
472,The Brothers McMullen,Edward Burns,True,4,written_by,6,True,1
473,The Spiral Staircase,Barry Sullivan,True,9,starred_actors,26,True,2
474,Dirty Pretty Things,Romance,True,1,has_genre,14,True,1
475,Wild Wild West,Roland Emmerich,True,8,directed_by,13,True,1
476,Mr. Bean's Holiday,English,True,23,in_language,2,True,1
477,The King Is Alive,2002,False,0,release_year,8,False,0
478,Psych-Out,James Caan,True,6,starred_actors,12,True,1
479,Little Man Tate,Robert Zemeckis,True,5,starred_actors,52,True,1
480,Deterrence,Gary Oldman,True,23,written_by,9,True,9
481,Fat City,Gregory Peck,True,4,directed_by,14,True,1
482,The Curse of the Cat People,Romance,True,3,has_genre,8,True,1
483,Cassandra's Dream,1994,False,0,release_year,1,False,0
484,Force of Evil,Drama,True,2,has_genre,14,True,1
485,Murder by Death,1979,True,38,release_year,16,True,0
486,Megaforce,Robert Greenwald,True,36,directed_by,8,True,5
487,In the Land of Women,Comedy,True,1,has_genre,7,True,1
488,The Deadly Trackers,Romance,True,4,has_genre,3,True,1
489,Mitchell,Dominique Dunne,False,0,starred_actors,28,False,0
490,Belle Starr,John Ford,True,22,directed_by,22,True,2
491,Diggers,Comedy,True,4,has_genre,1,True,1
492,Breathing Fire,Paul Thomas Anderson,False,0,directed_by,1,False,0
493,Love Field,John Updike,False,0,written_by,9,False,0
494,Kill the Irishman,Dolph Lundgren,True,3,starred_actors,59,True,1
495,Up in Smoke,1990,True,78,release_year,10,True,9
496,Notes on a Scandal,2008,True,56,release_year,11,True,4
497,Kaboom,Drama,True,1,has_genre,11,True,1
498,Calamari Union,French,True,6,in_language,9,True,1
499,It's Kind of a Funny Story,Sienna Miller,False,0,starred_actors,9,False,0
500,Bartok the Magnificent,Gary Goldman,True,2,written_by,19,True,1
501,Come Out and Play,Comedy,True,1,has_genre,4,True,1
502,The Deceivers,1991,False,0,release_year,5,False,0
503,The Crazies,Gary Yates,False,0,directed_by,25,False,0
504,Mr. Deeds Goes to Town,1948,True,4,release_year,24,True,1
505,Mr. Turner,Claire Skinner,True,3,written_by,1,False,0
506,Khartoum,1991,False,0,release_year,2,False,0
507,Peep World,1999,False,0,release_year,2,False,0
508,Distant Thunder,Drama,True,1,has_genre,8,True,1
509,13 Tzameti,2010,False,0,release_year,5,False,0
510,Harry Potter and the Half-Blood Prince,Michael Goldenberg,True,42,written_by,15,True,7
511,Ripley's Game,Thriller,True,3,has_genre,11,True,2
512,Downhill Racer,Rolf Lassgård,False,0,starred_actors,41,False,0
513,Wing Chun,Ang Lee,True,30,starred_actors,13,False,0
514,Midnight Lace,Drama,True,3,has_genre,9,True,3
515,Timecode,1992,True,3,release_year,6,True,1
516,Buster,Brenda Chapman,True,40,directed_by,23,True,10
517,Brown Sugar,Philippe Caland,False,0,directed_by,20,False,0
518,Maledetto il giorno che t'ho incontrato,Carlo Verdone,True,5,written_by,33,True,1
519,Heart of America,William Friedkin,True,4,written_by,7,True,1
520,The Fortune Cookie,Vincent Cassel,True,3,starred_actors,59,True,1
521,The Interview,2014,True,7,release_year,8,True,2
522,Kids,Drama,True,2,has_genre,7,True,2
523,Grand Masti,Aftab Shivdasani,True,1,starred_actors,4,True,1
524,Jack Frost,John Cusack,False,0,starred_actors,4,False,0
525,Saboteur,English,True,56,in_language,4,True,3
526,Day of the Dead,Devon Sawa,True,13,starred_actors,29,True,1
527,Pineapple Express,Michael Dowse,True,5,directed_by,15,True,2
528,A Madea Christmas,2006,True,4,release_year,28,True,1
529,White Dog,Ronald F. Maxwell,False,0,directed_by,26,False,0
530,Mimino,Georgiy Daneliya,True,4,written_by,2,True,1
531,There Goes My Heart,Mark Twain,False,0,written_by,1,False,0
532,Wild in the Streets,Kim Novak,False,0,starred_actors,22,False,0
533,The Forgotten Woman,2009,False,0,release_year,2,False,0
534,Torture Garden,Peter Cushing,True,2,starred_actors,66,True,1
535,The Petrified Forest,Musical,True,1,has_genre,9,True,1
536,Blood of the Vampire,Terence Fisher,False,0,directed_by,2,False,0
537,Bright Future,Japanese,True,4,in_language,2,True,1
538,Christopher Strong,Morrie Ryskind,True,9,starred_actors,56,True,0
539,Vampire Academy,Comedy,True,1,has_genre,11,True,1
540,Public Enemies,Al Pacino,True,17,starred_actors,60,True,1
541,Macbeth,1941,True,6,release_year,8,True,1
542,Becket,Stanley Kramer,True,14,directed_by,20,True,3
543,America America,Drama,True,4,has_genre,7,True,4
544,Wild Things,Jay Mohr,True,55,starred_actors,58,True,0
545,Mildred Pierce,1946,True,8,release_year,25,True,1
546,Enter the Void,French,True,10,in_language,9,True,1
547,Cass Timberlane,1946,False,0,release_year,5,False,0
548,Ocean's 11,Gregory Peck,True,17,starred_actors,37,True,7
549,Jimmy Hollywood,Dean Jennings,True,5,written_by,28,True,2
550,The Lair of the White Worm,1986,True,11,release_year,5,True,3
551,The Lawless Frontier,Barbara Sheldon,True,1,starred_actors,3,True,1
552,Pandorum,Norman Reedus,True,20,written_by,6,False,0
553,Commune,Joe Eszterhas,False,0,written_by,1,False,0
554,The Velvet Vampire,1967,False,0,release_year,5,False,0
555,Cypher,Horror,True,4,has_genre,10,True,4
556,The Jacket,Welsh,True,21,in_language,1,True,1
557,The Great Buck Howard,Daniel Clowes,False,0,written_by,3,False,0
558,The Blue Dahlia,Russian,False,0,in_language,0,False,0
559,No One Knows About Persian Cats,Bahman Ghobadi,True,4,written_by,1,True,1
560,Detention,Horror,True,2,has_genre,11,True,2
561,Angel-A,1987,False,0,release_year,3,False,0
562,Love Me or Leave Me,Mitzi Gaynor,True,81,starred_actors,49,True,0
563,Jay and Silent Bob Strike Back,Kevin Smith,True,72,directed_by,42,True,0
564,Operation Petticoat,1964,True,6,release_year,12,True,1
565,A Room with a View,Taylor Kitsch,True,13,starred_actors,56,True,1
566,Once Is Not Enough,Elia Kazan,False,0,written_by,3,False,0
567,Painted Skin,Action,True,4,has_genre,6,True,2
568,The Water Horse,Gustavo Ron,True,26,starred_actors,11,False,0
569,Wild Card,Russian,True,44,in_language,5,True,2
570,Patriot Games,2002,True,22,release_year,11,True,2
571,Soldiers of Fortune,Terry Winsor,False,0,starred_actors,52,False,0
572,Near Dark,Crime,True,1,has_genre,9,True,1
573,Groundhog Day,Craig Brewer,True,4,written_by,20,True,1
574,Riot on Sunset Strip,Mimsy Farmer,True,4,written_by,2,True,1
575,Woyzeck,Short,True,1,has_genre,10,True,1
576,Fulltime Killer,1986,True,5,release_year,3,True,2
577,The Suspended Step of the Stork,Theodoros Angelopoulos,True,7,directed_by,1,True,1
578,Suing the Devil,Sport,True,3,has_genre,8,True,1
579,The Secret Six,Family,True,1,has_genre,6,True,1
580,Plymouth Adventure,German,True,61,in_language,2,True,1
581,City of Joy,Drama,True,2,has_genre,7,True,2
582,Fritz the Cat,Comedy,True,3,has_genre,5,True,2
583,Homework,Drama,False,0,has_genre,3,False,0
584,Turn It Up,Russian,True,28,in_language,8,True,1
585,Ordinary Decent Criminal,John Swetnam,False,0,written_by,2,False,0
586,Tropic Thunder,2002,True,4,release_year,25,True,1
587,"Drive, He Said",Peter Boyle,True,4,starred_actors,42,True,3
588,Calendar Girl,Comedy,True,1,has_genre,10,True,1
589,Lucky Them,German,True,1,in_language,9,True,1
590,The Thief of Paris,Mystery,True,1,has_genre,5,True,1
591,At Play in the Fields of the Lord,Craig Brewer,False,0,written_by,1,False,0
592,And Now My Love,German,True,3,in_language,5,True,1
593,The Dying Gaul,Elyse Friedman,True,12,written_by,6,True,4
594,"Oh, Susanna!",Borden Chase,False,0,written_by,1,False,0
595,Divine Trash,Documentary,True,3,has_genre,4,True,1
596,The Apparition,Johnny Kevorkian,True,9,directed_by,2,True,2
597,The Dunwich Horror,1948,True,45,release_year,5,True,4
598,Ender's Game,Phillip Noyce,True,27,directed_by,19,True,2
599,Even Angels Eat Beans,Enzo Barboni,True,5,directed_by,1,True,1
600,Son of the Pink Panther,German,True,15,in_language,4,True,1
601,Rebound,Comedy,True,5,has_genre,7,True,3
602,Chop Shop,Laura Dern,True,5,starred_actors,4,True,1
603,Wildcats,German,False,0,in_language,3,False,0
604,Golden Earrings,Mystery,True,1,has_genre,10,True,1
605,Little Children,2001,True,58,release_year,14,True,6
606,All the Pretty Horses,Carmina Villaroel,True,6,starred_actors,43,True,1
607,The Wave,Dennis Gansel,True,12,directed_by,2,True,2
608,The Late Show,Romance,True,1,has_genre,8,True,1
609,Transporter 3,Catherine Breillat,True,7,written_by,32,True,1
610,Hopscotch,Brian Keith,True,1,directed_by,9,True,9
611,People Like Us,Marc Webb,True,30,directed_by,27,True,3
612,Django,Ernest Borgnine,False,0,starred_actors,6,False,0
613,I Am a Fugitive from a Chain Gang,1983,True,6,release_year,12,True,1
614,Play It to the Bone,Wesley Snipes,True,4,starred_actors,38,True,1
615,You Don't Mess with the Zohan,1990,True,57,release_year,17,True,5
616,The Cockleshell Heroes,1961,False,0,release_year,2,False,0
617,Death in the Garden,1933,True,45,release_year,5,True,4
618,Analyze That,1986,True,75,release_year,21,True,0
619,Mr. Robinson Crusoe,Adventure,True,14,has_genre,11,True,8
620,As I Lay Dying,Evan Goldberg,True,6,starred_actors,47,True,3
621,The Hustler,Kim Hunter,True,30,directed_by,45,True,7
622,Breaking and Entering,Charles Frazier,True,9,written_by,39,True,1
623,Anthony Adverse,1955,False,0,release_year,6,False,0
624,Purple Violets,1995,True,36,release_year,2,True,2
625,Vampires Suck,Aaron Seltzer,True,1,written_by,2,True,1
626,Maborosi,Drama,True,3,has_genre,7,True,1
627,Management,English,True,21,in_language,4,True,1
628,Super Size Me,2008,True,48,release_year,4,True,4
629,Narc,1998,False,0,release_year,6,False,0
630,She's Having a Baby,John Hughes,True,65,directed_by,22,True,10
631,Rebecca of Sunnybrook Farm,Irving Cummings,False,0,directed_by,3,False,0
632,God Bless America,Robin Williams,True,7,starred_actors,4,True,3
633,The Titfield Thunderbolt,Horror,True,2,has_genre,11,True,2
634,The Master of Ballantrae,William Woods,False,0,written_by,30,False,0
635,The Cobbler,History,True,1,has_genre,14,True,1
636,The Tingler,William P. McGivern,True,5,written_by,27,True,2
637,The Big Wedding,2007,True,4,release_year,3,True,1
638,Shutter Island,Brian Selznick,True,13,written_by,38,True,3
639,"Oh, Susanna!",English,True,10,in_language,1,True,1
640,Swing Shift,Drama,True,1,has_genre,5,True,1
641,Get Him to the Greek,1977,True,14,release_year,7,True,2
642,The Maiden Heist,Brad Renfro,False,0,starred_actors,61,False,0
643,The Indian Runner,Anjelica Huston,False,0,starred_actors,56,False,0
644,All Things to All Men,Margaret Rosenthal,False,0,written_by,1,False,0
645,When Will I Be Loved,English,True,13,in_language,6,True,1
646,Married to It,German,True,15,in_language,2,True,1
647,The Mouse That Roared,Bernard Cribbins,True,19,starred_actors,53,True,10
648,Brüno,2003,False,0,release_year,1,False,0
649,Festival in Cannes,1985,True,38,release_year,2,True,2
650,Super Fuzz,Franco Nero,False,0,starred_actors,50,False,0
651,An American Carol,Dian Bachar,True,26,starred_actors,66,True,10
652,Country Life,1984,True,34,release_year,3,True,2
653,Curse of Chucky,Brad J. Silverman,False,0,written_by,4,False,0
654,Scarlet Street,Crime,True,2,has_genre,10,True,2
655,The Death Kiss,Robert Riskin,True,8,written_by,5,True,1
656,Noah's Ark,Frances Hodgson Burnett,False,0,written_by,7,False,0
657,Day for Night,1984,True,4,release_year,8,True,1
658,Wild Card,Glenn Close,False,0,starred_actors,53,False,0
659,The Sweetest Thing,2008,True,4,release_year,28,True,1
660,Roberta,1935,True,5,release_year,17,True,1
661,13 Sins,Drama,True,1,has_genre,12,True,1
662,Go West,John Boorman,True,5,written_by,17,True,1
663,Reagan,Eugene Jarecki,True,2,written_by,2,True,1
664,Her Alibi,Kenneth G. Ross,True,6,written_by,6,True,2
665,Primrose Path,Nunnally Johnson,True,11,directed_by,17,True,1
666,On Deadly Ground,1994,True,5,release_year,11,True,1
667,Tumbleweeds,Janet McTeer,True,9,written_by,4,True,3
668,Interiors,Albert Hackett,True,5,starred_actors,5,True,4
669,Mary,French,True,23,in_language,3,True,2
670,Pinky,Elia Kazan,True,4,directed_by,17,True,1
671,The Thing from Another World,George Worthing Yates,True,19,starred_actors,9,False,0
672,Noah's Ark,Henry King,False,0,directed_by,7,False,0
673,Melancholia,Drama,True,1,has_genre,13,True,1
674,The Teahouse of the August Moon,Horror,True,1,has_genre,9,True,1
675,Wrong Turn at Tahoe,Grégory Levasseur,True,9,written_by,39,True,1
676,Blue Velvet,David Lynch,True,4,directed_by,13,True,1
677,Before the Devil Knows You're Dead,1946,True,2,release_year,24,True,1
678,Appleseed,Atsuko Tanaka,False,0,starred_actors,2,False,0
679,The Panic in Needle Park,Drama,True,9,has_genre,2,True,1
680,Blackthorn,1999,False,0,release_year,4,False,0
681,Irma Vep,Alex Law,True,5,written_by,3,True,1
682,No Man's Land,Bob Swaim,False,0,directed_by,2,False,0
683,Stage Fright,1935,True,6,release_year,14,True,1
684,Runner Runner,Danny DeVito,False,0,starred_actors,50,False,0
685,Moonlight Serenade,2000,True,75,release_year,6,True,5
686,Stonehenge Apocalypse,Robert Hewitt Wolfe,False,0,written_by,24,False,0
687,Art School Confidential,Portuguese,True,24,in_language,2,True,1
688,The Hallelujah Trail,Russian,True,23,in_language,3,True,1
689,"Blood, Guts, Bullets and Octane",Joe Carnahan,True,21,directed_by,23,True,3
690,Love Streams,Drama,True,2,has_genre,3,True,1
691,The Patsy,James Coburn,True,7,written_by,53,True,1
692,Let's Do It Again,Mystery,True,3,has_genre,8,True,2
693,Child of God,Filipino,True,14,in_language,1,True,1
694,Vengo,French,True,5,in_language,5,True,3
695,City of Joy,Drama,True,2,has_genre,11,True,2
696,Red-Headed Woman,Frank Capra,True,8,directed_by,10,True,1
697,My Life Without Me,Terry Gilliam,True,4,starred_actors,38,False,0
698,Involuntary,Swedish,True,6,in_language,4,True,1
699,Sextette,Mae West,True,9,written_by,14,True,3
700,Mysterious Mr. Moto,1947,True,5,release_year,4,True,1
701,Letters to Juliet,1995,True,3,release_year,2,True,1
702,Thieves Like Us,Terry Gilliam,True,6,directed_by,10,True,1
703,Things We Lost in the Fire,Terry Gilliam,True,84,starred_actors,52,True,0
704,Agent Red,Horror,True,3,has_genre,7,True,2
705,Go West,1948,True,53,release_year,11,True,5
706,Babylon A.D.,French,True,7,in_language,6,True,3
707,Casino,Elia Kazan,True,7,starred_actors,30,True,1
708,Four Rooms,Family,True,1,has_genre,10,True,1
709,It Came from Outer Space,Peter Hyams,False,0,directed_by,23,False,0
710,A Murder of Crows,1993,False,0,release_year,2,False,0
711,Murders in the Rue Morgue,The Marx Brothers,True,56,starred_actors,35,True,0
712,I-See-You.Com,Romance,True,1,has_genre,5,True,1
713,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,True,4,written_by,1,True,1
714,Two for the Road,John Schlesinger,False,0,directed_by,7,False,0
715,Old School,Jeannie Berlin,False,0,starred_actors,41,False,0
716,Running on Karma,John Van Druten,False,0,written_by,39,False,0
717,Dead Men Don't Wear Plaid,Teri Garr,True,2,directed_by,19,False,0
718,Boiling Point,Takeshi Kitano,True,3,directed_by,11,True,1
719,Invisible Waves,1995,False,0,release_year,6,False,0
720,Small Apartments,Creighton Vero,False,0,written_by,1,False,0
721,Goodbye Solo,Laura Dern,True,6,starred_actors,4,True,1
722,Train,1999,False,0,release_year,1,False,0
723,Griff the Invisible,Horror,True,1,has_genre,14,True,1
724,When Will I Be Loved,Paul Winfield,True,8,starred_actors,50,True,3
725,King of Beggars,Action,True,3,has_genre,5,True,2
726,The Handmaid's Tale,Mystery,True,10,has_genre,2,True,1
727,Billy Jack Goes to Washington,Delores Taylor,True,1,starred_actors,2,True,1
728,Indian Summer,Don Cheadle,True,15,starred_actors,62,True,5
729,Love Songs,François Sagat,True,4,starred_actors,13,True,3
730,Diary of a Nymphomaniac,Ranald MacDougall,False,0,written_by,2,False,0
731,The Anniversary Party,Mystery,True,1,has_genre,11,True,1
732,Joe Versus the Volcano,Amy Adams,True,71,starred_actors,55,True,0
733,United 93,Action,True,2,has_genre,6,True,2
734,Merry-Go-Round,French,True,9,in_language,1,True,1
735,Wedding Crashers,Drama,True,1,has_genre,8,True,1
736,Sayonara,French,True,53,in_language,1,True,1
737,No Strings Attached,1986,True,7,release_year,18,True,4
738,Dirty Pretty Things,1990,True,4,release_year,11,True,1
739,Begin Again,Panjabi,False,0,in_language,0,False,0
740,The Reaping,Tony Goldwyn,True,68,directed_by,10,True,10
741,Elizabethtown,1992,True,8,release_year,7,True,2
742,Small Time Crooks,Portuguese,True,13,in_language,3,True,1
743,The Cassandra Crossing,Sioux,True,10,in_language,4,True,1
744,Reindeer Games,Mystery,True,2,has_genre,7,True,1
745,Johnny Belinda,Drama,True,2,has_genre,7,True,2
746,Captain EO,E.Y. Harburg,True,4,written_by,42,True,1
747,Suzy,Drama,True,3,has_genre,9,True,3
748,Dilwale Dulhania Le Jayenge,Drama,True,1,has_genre,14,True,1
749,Inglourious Basterds,Chris Penn,True,9,starred_actors,36,True,4
750,"Clean, Shaven",French,True,8,in_language,4,True,2
751,City of Women,Leopoldo Trieste,True,2,starred_actors,28,True,1
752,Safe Men,2000,True,75,release_year,12,True,0
753,High Heels and Low Lifes,1997,False,0,release_year,25,False,0
754,The Fox and the Hound 2,Carl Ellsworth,False,0,written_by,37,False,0
755,Lawless,Mystery,True,1,has_genre,11,True,1
756,I'm Gonna Git You Sucka,Keenen Ivory Wayans,True,9,written_by,16,True,1
757,Raging Bull,Gregory Peck,True,1,starred_actors,39,True,1
758,Arbitrage,1986,True,3,release_year,11,True,1
759,The Quiet American,1934,True,4,release_year,9,True,1
760,Battle Royale,Japanese,True,2,in_language,3,True,1
761,Grumpy Old Men,Comedy,True,1,has_genre,7,True,1
762,The Misfortunates,2012,False,0,release_year,2,False,0
763,Perfect Sisters,Horror,True,1,has_genre,11,True,1
764,Fishtales,Drama,True,2,has_genre,6,True,2
765,Black Caesar,Michael Lerner,True,1,starred_actors,8,True,1
766,Finding Neverland,Dari,True,22,in_language,2,True,2
767,Beautiful Joe,Spanish,False,0,in_language,0,False,0
768,Running with Scissors,Tim Burton,False,0,starred_actors,51,False,0
769,One Magic Christmas,1992,True,3,release_year,3,True,1
770,In Time,2006,True,3,release_year,6,True,1
771,The Wicker Man,German,True,40,in_language,3,True,1
772,Vengeance Valley,Ketti Frings,True,14,starred_actors,57,True,0
773,In Old Chicago,1933,True,5,release_year,16,True,1
774,Duma,Cameron Crowe,False,0,directed_by,8,False,0
775,Little Caesar,Romance,True,1,has_genre,11,True,1
776,Timecode,Mike Figgis,True,2,directed_by,16,True,1
777,Spirits of the Dead,Brendan Gleeson,True,10,written_by,35,True,2
778,A Double Life,Don Mankiewicz,True,4,written_by,18,True,1
779,Open Hearts,Mads Mikkelsen,True,3,starred_actors,15,True,1
780,Female Agents,Jérôme Salle,True,13,directed_by,5,True,1
781,Harry Potter and the Order of the Phoenix,Michael Noonan,True,11,written_by,12,True,2
782,Summer Lovers,Michael Pressman,True,26,directed_by,28,True,10
783,La Grande Illusion,Nora Swinburne,True,11,starred_actors,23,True,1
784,Stargate,1990,True,18,release_year,10,True,2
785,Double Jeopardy,Drama,True,4,has_genre,4,True,4
786,Christmas Holiday,Ketti Frings,True,32,directed_by,12,True,8
787,Buddy,1991,False,0,release_year,6,False,0
788,This Is Elvis,Dana Olsen,True,5,written_by,4,True,3
789,The Magic Christian,Terry Gilliam,True,8,directed_by,27,True,2
790,Saving General Yang,Horror,True,5,has_genre,6,True,1
791,Missing in Action,Glenn Leopold,True,2,written_by,22,True,1
792,Wrong Is Right,1975,False,0,release_year,2,False,0
793,Lucky Lady,2000,False,0,release_year,3,False,0
794,Grown Ups,Action,True,1,has_genre,10,True,1
795,The Last Hurrah,Julie Christie,True,4,starred_actors,53,True,1
796,The Magic Flute,Baran bo Odar,True,4,directed_by,13,True,1
797,Palmetto,Spanish,True,14,in_language,5,True,2
798,Dead Man Down,Swedish,True,41,in_language,4,True,2
799,Wendy and Lucy,Lukas Moodysson,False,0,directed_by,2,False,0
800,A Taxing Woman,Comedy,True,4,has_genre,8,True,2
801,The Judge,Clint Howard,False,0,starred_actors,55,False,0
802,The Court Jester,Sidney Lanfield,True,2,written_by,33,True,1
803,Rosenstrasse,Katja von Garnier,False,0,written_by,1,False,0
804,The Rocketeer,Mystery,True,3,has_genre,8,True,1
805,Hell's Angels,Frank Capra,True,27,starred_actors,39,False,0
806,M,Sylvia Sidney,True,41,directed_by,18,True,10
807,Autumn Ball,Veiko Õunpuu,True,4,directed_by,6,True,1
808,Trading Places,Greek,True,97,in_language,3,True,1
809,Beyond the Clouds,Federico Fellini,True,7,directed_by,6,True,2
810,Love Liza,2009,False,0,release_year,2,False,0
811,The Cobbler,Giulio Paradisi,True,3,written_by,8,True,1
812,Go,1995,False,0,release_year,1,False,0
813,K-9,2002,True,72,release_year,22,True,0
814,The Hunger,English,False,0,in_language,0,False,0
815,Abigail's Party,Mike Leigh,True,5,directed_by,2,True,1
816,City of Hope,Mystery,True,1,has_genre,8,True,1
817,Crossing the Bridge,1993,False,0,release_year,1,False,0
818,Happy Tears,Mitchell Lichtenstein,True,8,directed_by,28,True,1
819,The Lost Battalion,War,True,15,has_genre,11,True,6
820,Wild in the Streets,Robert Aldrich,True,9,directed_by,33,True,1
821,The Sundowners,Bess Armstrong,True,37,starred_actors,46,True,8
822,The Best Man Holiday,Italian,True,13,in_language,2,True,1
823,The Hamiltons,Phil Flores,True,3,directed_by,23,True,1
824,Rookie of the Year,John Milius,True,37,starred_actors,39,True,0
825,Torch Song,Thelma Ritter,True,15,written_by,24,True,0
826,Choking Man,Fantasy,False,0,has_genre,9,False,0
827,Dreamscape,1990,True,36,release_year,5,True,4
828,Delitto a Porta Romana,Italian,True,5,in_language,5,True,2
829,Maze,Horror,True,1,has_genre,8,True,1
830,Attack of the Giant Leeches,Charles Bronson,True,8,written_by,1,False,0
831,Ragtime,French,True,22,in_language,1,True,1
832,After the Thin Man,1953,True,9,release_year,15,True,1
833,The Devil Rides Out,1968,True,8,release_year,25,True,1
834,Dressed to Kill,1984,True,78,release_year,11,True,8
835,Heroine,Aditya Chopra,False,0,written_by,1,False,0
836,Deception,Gene Kelly,True,3,starred_actors,26,True,1
837,Town Without Pity,1946,True,3,release_year,5,True,1
838,Life or Something Like It,Mark Millar,True,89,written_by,44,True,0
839,Contact,Neil Gaiman,True,11,written_by,45,True,3
840,Scandal Sheet,Barry Shear,True,8,directed_by,5,True,3
841,The Underneath,Michael Pressman,False,0,directed_by,5,False,0
842,Werner Herzog Eats His Shoe,Werner Herzog,True,10,starred_actors,28,True,3
843,Let's Do It Again,Action,True,2,has_genre,6,True,2
844,Reservoir Dogs,Horror,True,1,has_genre,7,True,1
845,Desperate Hours,Russian,True,69,in_language,4,True,3
846,The Abominable Snowman,1990,False,0,release_year,3,False,0
847,The Tall Man,Steven Millhauser,False,0,written_by,1,False,0
848,In Between Days,So Yong Kim,True,1,written_by,1,True,1
849,Billy Rose's Jumbo,Mystery,True,1,has_genre,11,True,1
850,Knockaround Guys,Justin Lin,True,7,starred_actors,23,True,3
851,Goyokin,1964,False,0,release_year,5,False,0
852,King Creole,Lewis Gilbert,False,0,directed_by,10,False,0
853,Tears of April,Finnish,True,5,in_language,9,True,1
854,Halloween II,Action,True,1,has_genre,5,True,1
855,Fire with Fire,1986,True,4,release_year,2,True,1
856,Running Out of Time,Alexander Payne,True,46,written_by,12,True,1
857,Nobody Knows,Drama,True,3,has_genre,13,True,2
858,Morituri,German,True,24,in_language,1,True,1
859,The Awful Truth,Eric Hatch,True,11,written_by,30,True,3
860,God Is Great and I'm Not,2002,True,3,release_year,2,True,1
861,The Plastic Age,Lowell Sherman,True,19,starred_actors,9,True,9
862,Swept Away,Drama,True,1,has_genre,11,True,1
863,Final Destination,Action,True,1,has_genre,5,True,1
864,Support Your Local Gunfighter,Adele Mara,False,0,starred_actors,60,False,0
865,DeepStar Six,Drama,True,3,has_genre,5,True,1
866,Fiddler on the Roof,1991,True,40,release_year,22,True,6
867,Eve's Bayou,Drama,True,2,has_genre,6,True,2
868,Lost Horizon,Laslo Benedek,True,24,starred_actors,45,False,0
869,Ishtar,German,False,0,in_language,0,False,0
870,The Cincinnati Kid,Tony Richardson,False,0,directed_by,8,False,0
871,Cimarron,Rock Hudson,True,17,starred_actors,41,True,8
872,Unbroken,2005,True,5,release_year,8,True,1
873,Miranda,Sylvia Kristel,False,0,starred_actors,40,False,0
874,Times Square,1999,False,0,release_year,6,False,0
875,Stroker Ace,1974,True,3,release_year,4,True,1
876,On the Line,Action,True,4,has_genre,8,True,2
877,The Penalty,1968,True,25,release_year,7,True,2
878,13 Tzameti,Jason Statham,True,9,starred_actors,59,True,1
879,The City of Lost Children,Dominique Pinon,False,0,starred_actors,19,False,0
880,Trouble in Paradise,Carole Lombard,True,8,starred_actors,57,True,2
881,Legal Eagles,Warren Oates,True,85,starred_actors,55,True,0
882,California Split,Mystery,True,4,has_genre,5,True,1
883,Alice Doesn't Live Here Anymore,Drama,True,1,has_genre,11,True,1
884,Basquiat,Terry Gilliam,True,27,written_by,8,True,7
885,I Hired a Contract Killer,Kari Väänänen,True,5,starred_actors,20,True,1
886,The Front Page,Brian Garfield,True,5,written_by,25,True,1
887,Pretty Persuasion,Drama,True,1,has_genre,13,True,1
888,Blood for Dracula,Family,True,2,has_genre,4,True,1
889,Russkies,Finnish,False,0,in_language,4,False,0
890,Breakin' All the Rules,2000,True,37,release_year,5,True,2
891,Starting Over,John Grisham,True,10,written_by,21,True,3
892,Terribly Happy,Jesper Asholt,True,5,starred_actors,1,True,1
893,Wicker Park,German,True,28,in_language,2,True,1
894,Saw III,Shawnee Smith,True,1,starred_actors,12,True,1
895,Hell's Kitchen,Curtis Hanson,True,3,starred_actors,45,True,1
896,Dancing at Lughnasa,1987,False,0,release_year,2,False,0
897,Sweet and Lowdown,Mystery,True,1,has_genre,10,True,1
898,Julia,Richard Rodgers,True,5,written_by,33,True,2
899,A Summer by the River,Veikko Huovinen,True,4,written_by,2,True,1
900,The American,Turkish,True,13,in_language,3,True,1
901,The Tall Men,Irish,False,0,in_language,2,False,0
902,Undercover Brother,1997,True,3,release_year,3,True,1
903,"The World, the Flesh and the Devil",Drama,True,3,has_genre,4,True,1
904,Alligator,Mystery,True,8,has_genre,1,True,1
905,For the Boys,Kim Basinger,True,2,starred_actors,58,True,1
906,Paperhouse,Spanish,True,13,in_language,1,True,1
907,The First Nudie Musical,1983,False,0,release_year,4,False,0
908,Delivery Man,Steve Faber,True,11,written_by,28,True,2
